quote,theme,explanation
"So, um, my current work setting, it's it's probably business casual on most days.",Professional Dress_Business Casual,""
"There aren't very many days that require business professional. But if there are, let's say meetings with like the Board of Regents or, um, opportunities to interact with the president or other folks across campus, um, it might, you know, be required to take it up a notch or so.",Professional Dress_Business Casual,""
I would say it's like a classy business casual.,Professional Dress_Business Casual,""
"That is a great question. Um. I guess the fair answer is no. Um, the practical answer is culturally it is different because, um, in a sports setting, uh, slacks and a polo shirt are acceptable business casual dress.",Professional Dress_Business Casual,""
I don't know. I would say it's like a classy business casual.,Professional Dress_Business Casual,""
I love a good tapered pant. Um. It's like my my jam.,Professional Dress_Emotional Impact_Comfort,""
"I have pretty, like, uh, muscular arm. So it's like, um, it has. I have to shop for blazers with more intention.",Professional Dress_Emotional Impact_Comfort,""
I prefer to wear converse every day.,Professional Dress_Emotional Impact_Comfort,""
"I feel as though there's some things that I have colleagues who don't identify as black women who are able to, like, get away with, um, that I don't try to because I'm, I believe and I have experience already working against preconceived notions about like, my experience or my effectiveness, that sort of thing in my professionally.",Professional Dress_Female Dominated,""
So my hair. I locked my hair in 2018.,Hair_Natural Hair,""
"I don't prefer to have to engage in conversations about my hair, and so I try not to, um, invite that by wearing styles that would draw attention to it.",Hair_Avoiding Hair Attention,""
"So my nails, these are my natural nails with like a gel overlay.",Nails_Negotiation,""
I say approach my nails the same way I approach my hair.,Nails_Avoiding Hair Attention,""
